frame,time,cell_id,row,col
0,0.0,17,2,5
0,0.0,21,4,29
0,0.0,15,6,48
0,0.0,11,11,10
0,0.0,24,11,28
0,0.0,25,11,36
0,0.0,23,13,26
0,0.0,22,15,29
0,0.0,14,17,31
0,0.0,13,22,31
0,0.0,16,25,8
0,0.0,19,26,7
0,0.0,12,28,48
0,0.0,4,32,24
0,0.0,20,33,9
0,0.0,2,35,21
0,0.0,1,36,39
0,0.0,8,38,33
0,0.0,6,40,31
0,0.0,3,44,29
0,0.0,18,45,9
0,0.0,5,46,8
0,0.0,9,46,22
0,0.0,10,48,10
0,0.0,7,48,13
1,0.15,17,2,5
1,0.15,21,4,29
1,0.15,15,6,48
1,0.15,11,11,10
1,0.15,24,11,28
1,0.15,25,11,35
1,0.15,23,13,26
1,0.15,22,15,29
1,0.15,14,17,30
1,0.15,13,22,31
1,0.15,16,25,7
1,0.15,19,26,7
1,0.15,12,28,48
1,0.15,4,32,24
1,0.15,20,33,9
1,0.15,2,35,21
1,0.15,1,36,39
1,0.15,8,38,33
1,0.15,6,39,30
1,0.15,3,44,29
1,0.15,18,45,9
1,0.15,5,46,8
1,0.15,9,46,22
1,0.15,7,48,13
1,0.15,10,49,10
2,0.3,17,2,4
2,0.3,21,4,30
2,0.3,15,6,47
2,0.3,11,11,10
2,0.3,24,11,28
2,0.3,25,11,35
2,0.3,23,13,26
2,0.3,22,15,29
2,0.3,14,17,30
2,0.3,13,22,31
2,0.3,16,25,7
2,0.3,19,26,7
2,0.3,12,28,48
2,0.3,4,32,24
2,0.3,20,33,8
2,0.3,2,35,21
2,0.3,1,36,39
2,0.3,8,38,33
2,0.3,6,39,31
2,0.3,3,44,29
2,0.3,18,45,9
2,0.3,5,46,8
2,0.3,9,46,22
2,0.3,7,48,13
2,0.3,10,49,9
3,0.44999999999999996,17,2,4
3,0.44999999999999996,21,3,30
3,0.44999999999999996,15,6,46
3,0.44999999999999996,11,11,10
3,0.44999999999999996,24,11,28
3,0.44999999999999996,25,11,35
3,0.44999999999999996,23,12,26
3,0.44999999999999996,22,15,30
3,0.44999999999999996,14,16,30
3,0.44999999999999996,13,22,31
3,0.44999999999999996,16,25,7
3,0.44999999999999996,19,26,8
3,0.44999999999999996,12,28,48
3,0.44999999999999996,4,32,24
